Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189384,-0.08154998,999.0,-5.01125030964613,-5.01125030964613,1.0
20000,1.4189383,-0.07862152,908.0,-4.031222542126973,-4.031222542126973,1.0
30000,1.4175396,-0.11849906,949.8888888888889,-4.234000318580204,-4.234000318580204,1.0
40000,1.4172329,-0.10856366,999.0,-5.016857449497495,-5.016857449497495,1.0
50000,1.4159937,-0.13833816,751.6363636363636,-1.498909348791296,-1.498909348791296,1.0
60000,1.4156336,-0.14209649,999.0,-5.020555873711904,-5.020555873711904,1.0
70000,1.4147515,-0.124769025,833.1818181818181,-2.9882502456506095,-2.9882502456506095,1.0
80000,1.414254,-0.113538355,819.7272727272727,-2.7381820407780735,-2.7381820407780735,1.0
90000,1.4134372,-0.10118048,805.3846153846154,-2.6990835865338645,-2.6990835865338645,1.0
100000,1.4129194,-0.113663815,856.0714285714286,-3.21814312679427,-3.21814312679427,1.0
110000,1.4127197,-0.16649355,754.3076923076923,-2.9209233797513523,-2.9209233797513523,1.0
120000,1.4125206,-0.15710074,697.2142857142857,-1.390800166130066,-1.390800166130066,1.0
130000,1.4135574,-0.15779833,911.5,-4.119700264930725,-4.119700264930725,1.0
140000,1.4144968,-0.20683412,767.3333333333334,-2.5898335774739585,-2.5898335774739585,1.0
150000,1.4144645,-0.2100843,809.7333333333333,-3.051466929912567,-3.051466929912567,1.0
160000,1.4142851,-0.17374073,611.7857142857143,-0.9185000870909009,-0.9185000870909009,1.0
170000,1.4141215,-0.16920255,875.6153846153846,-3.686769494643578,-3.686769494643578,1.0
180000,1.41391,-0.17286608,703.3333333333334,-2.0316669642925262,-2.0316669642925262,1.0
190000,1.4138646,-0.17200617,670.25,-1.7013752572238445,-1.7013752572238445,1.0
200000,1.4137223,-0.2052612,829.0,-3.1835003197193146,-3.1835003197193146,1.0
210000,1.4133577,-0.21166041,797.9285714285714,-3.2013336618741355,-3.2013336618741355,1.0
220000,1.4124451,-0.18574455,906.3,-4.506200474500656,-4.506200474500656,1.0
230000,1.4120764,-0.19066818,796.7142857142857,-3.250428910766329,-3.250428910766329,1.0
240000,1.4108639,-0.21194145,690.0833333333334,-2.0089169293642044,-2.0089169293642044,1.0
250000,1.4105933,-0.20514531,613.9411764705883,-1.0141766877735363,-1.0141766877735363,1.0
260000,1.4093359,-0.22182465,711.4375,-2.167187787592411,-2.167187787592411,1.0
270000,1.409363,-0.23933467,746.1818181818181,-2.6988185319033535,-2.6988185319033535,1.0
280000,1.4096948,-0.2052588,918.25,-4.555167103807132,-4.555167103807132,1.0
290000,1.409756,-0.26714012,714.7692307692307,-2.12583364546299,-2.12583364546299,1.0
300000,1.410673,-0.26962164,634.3333333333334,-1.711474010818883,-1.711474010818883,1.0
310000,1.410738,-0.25651103,624.8666666666667,-1.3576669176419576,-1.3576669176419576,1.0
320000,1.4117724,-0.25560996,850.8333333333334,-3.463182118805972,-3.463182118805972,1.0
330000,1.4117392,-0.19466339,666.7142857142857,-1.6058573297091894,-1.6058573297091894,1.0
340000,1.4108976,-0.26426592,796.5,-3.1856669306755068,-3.1856669306755068,1.0
350000,1.4107965,-0.32493654,996.5,-4.73062539845705,-4.73062539845705,1.0
360000,1.4091703,-0.2718912,630.5384615384615,-1.9339336077372233,-1.9339336077372233,1.0
370000,1.4091703,-0.19390267,645.25,-1.419125210493803,-1.419125210493803,1.0
380000,1.407815,-0.23191813,681.4444444444445,-1.785555703772439,-1.785555703772439,1.0
390000,1.4076798,-0.2888226,893.0,-3.9768891400761075,-3.9768891400761075,1.0
400000,1.4060447,-0.3347858,761.9166666666666,-2.5715835293134055,-2.5715835293134055,1.0
410000,1.4056337,-0.20540224,797.3571428571429,-2.9182145254952565,-2.9182145254952565,1.0
420000,1.4047561,-0.21087424,789.3846153846154,-2.795923269712008,-2.795923269712008,1.0
430000,1.4044322,-0.11610321,740.0,-2.2743573912552426,-2.2743573912552426,1.0
440000,1.4049212,-0.18427566,892.0,-3.9075558251804776,-3.9075558251804776,1.0
450000,1.4051821,-0.109987326,610.7058823529412,-0.9978825239574208,-0.9978825239574208,1.0
460000,1.4058326,-0.16007645,780.2307692307693,-2.7510002072040853,-2.7510002072040853,1.0
470000,1.406168,-0.19866228,918.3333333333334,-4.178500235080719,-4.178500235080719,1.0
480000,1.4059303,-0.1744953,585.1875,-0.7418126873672009,-0.7418126873672009,1.0
490000,1.4057026,-0.2561342,759.0,-2.2702309489250183,-2.2702309489250183,1.0
500000,1.4047779,-0.22077848,712.2307692307693,-2.0258463346041164,-2.0258463346041164,1.0
510000,1.4040891,-0.2487378,745.4666666666667,-2.4104669014612834,-2.4104669014612834,1.0
520000,1.4046801,-0.19547111,910.8181818181819,-4.103273007002744,-4.103273007002744,1.0
530000,1.4052843,-0.20574561,816.3,-3.085000193119049,-3.085000193119049,1.0
540000,1.4048748,-0.22928917,744.9333333333333,-2.39440020720164,-2.39440020720164,1.0
550000,1.4042938,-0.30997223,999.0,-4.997900301218033,-4.997900301218033,1.0
560000,1.4048274,-0.1634457,568.75,-0.36510540937122543,-0.36510540937122543,1.0
570000,1.4057788,-0.27499655,889.7777777777778,-4.007200288772583,-4.007200288772583,1.0
580000,1.4055406,-0.25506014,918.4166666666666,-4.104909371245991,-4.104909371245991,1.0
590000,1.4049561,-0.22675401,708.8461538461538,-2.2277145513466428,-2.2277145513466428,1.0
600000,1.405188,-0.19820032,744.5333333333333,-2.2068573364189694,-2.2068573364189694,1.0
610000,1.4060727,-0.22992703,825.5454545454545,-3.3700835704803467,-3.3700835704803467,1.0
620000,1.4062743,-0.23677579,643.5,-1.351625181734562,-1.351625181734562,1.0
630000,1.4069403,-0.19381897,578.0555555555555,-0.6710556712415483,-0.6710556712415483,1.0
640000,1.4073147,-0.17658551,778.9230769230769,-2.7440771277134237,-2.7440771277134237,1.0
650000,1.4091551,-0.12809277,615.3333333333334,-1.0809334834416708,-1.0809334834416708,1.0
660000,1.4092411,-0.16616978,640.75,-1.0882001757621764,-1.0882001757621764,1.0
670000,1.4099249,-0.23127691,774.3076923076923,-2.8842144906520844,-2.8842144906520844,1.0
680000,1.4098748,-0.1843483,680.3333333333334,-1.7396001895268758,-1.7396001895268758,1.0
690000,1.4089788,-0.19995463,840.25,-3.22345477884466,-3.22345477884466,1.0
700000,1.4089783,-0.25779897,837.3333333333334,-3.2190911282192576,-3.2190911282192576,1.0
710000,1.4090271,-0.12465345,702.5384615384615,-2.4008002440134684,-2.4008002440134684,1.0
720000,1.4091394,-0.16519713,862.5,-3.369833598534266,-3.369833598534266,1.0
730000,1.4112511,-0.16853087,999.0,-4.999545763839375,-4.999545763839375,1.0
740000,1.4112511,-0.20720126,736.4545454545455,-2.325182031501423,-2.325182031501423,1.0
750000,1.4105994,-0.23688284,740.6666666666666,-2.395600211620331,-2.395600211620331,1.0
760000,1.410465,-0.31611484,837.5833333333334,-3.401083618402481,-3.401083618402481,1.0
770000,1.4093,-0.33262908,837.9166666666666,-3.371250256896019,-3.371250256896019,1.0
780000,1.4090918,-0.2861823,999.0,-5.00577810075548,-5.00577810075548,1.0
790000,1.409269,-0.28289646,656.4705882352941,-1.3404376618564129,-1.3404376618564129,1.0
800000,1.4093131,-0.31176674,777.5384615384615,-2.9017145293099538,-2.9017145293099538,1.0
810000,1.4097255,-0.32236442,911.7272727272727,-4.1121821132573215,-4.1121821132573215,1.0
820000,1.4098861,-0.33985633,756.5833333333334,-2.5487502117951712,-2.5487502117951712,1.0
830000,1.4098539,-0.29743752,884.3333333333334,-3.5935835788647332,-3.5935835788647332,1.0
840000,1.4098208,-0.20661548,774.2307692307693,-2.7224617967238793,-2.7224617967238793,1.0
850000,1.4103146,-0.26605755,836.6666666666666,-3.20436386086724,-3.20436386086724,1.0
860000,1.4106122,-0.32940164,837.5,-3.485615679850945,-3.485615679850945,1.0
870000,1.4103647,-0.29392728,822.2727272727273,-3.2271821119568567,-3.2271821119568567,1.0
880000,1.4101316,-0.20699018,624.5555555555555,-1.1824446419874828,-1.1824446419874828,1.0
890000,1.4111105,-0.33489236,999.0,-5.007875315845013,-5.007875315845013,1.0
900000,1.4121424,-0.25134572,749.0,-2.4140002091725665,-2.4140002091725665,1.0
910000,1.412973,-0.30322632,774.5714285714286,-2.447000192744391,-2.447000192744391,1.0
920000,1.4139735,-0.28285915,765.0,-2.4691820523955603,-2.4691820523955603,1.0
930000,1.4140817,-0.3106678,714.6923076923077,-2.038307873102335,-2.038307873102335,1.0
940000,1.4141752,-0.24024333,678.8333333333334,-1.7357223563724093,-1.7357223563724093,1.0
950000,1.4140507,-0.2344712,756.8333333333334,-2.5405835956335068,-2.5405835956335068,1.0
960000,1.41381,-0.25386292,680.6666666666666,-1.4179335196812948,-1.4179335196812948,1.0
970000,1.4143444,-0.23148015,770.2307692307693,-1.931307893532973,-1.931307893532973,1.0
980000,1.4157428,-0.18862318,605.5625,-0.5336251817643642,-0.5336251817643642,1.0
990000,1.4158888,-0.2979923,808.1818181818181,-1.3160003152760593,-1.3160003152760593,1.0
1000000,1.4161721,-0.3016539,710.4705882352941,-1.7917061307851005,-1.7917061307851005,1.0
1010000,1.4165375,-0.212413,825.3333333333334,-2.879500220219294,-2.879500220219294,1.0
1020000,1.4180977,-0.2092032,680.6153846153846,-1.4840001922387343,-1.4840001922387343,1.0
1030000,1.4185894,-0.3098163,605.4117647058823,-0.9730001582818872,-0.9730001582818872,1.0
1040000,1.4214056,-0.19217336,693.4375,-1.0366668581962586,-1.0366668581962586,1.0
1050000,1.4214995,-0.24152735,646.1333333333333,-1.1585002541542053,-1.1585002541542053,1.0
1060000,1.4219493,-0.16166794,505.27777777777777,0.5250554018550448,0.5250554018550448,1.0
