Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189384,0.024418276,929.125,-4.040375299751759,-4.040375299751759,1.0
20000,1.4189383,0.013528088,999.0,-5.031778117020925,-5.031778117020925,1.0
30000,1.419748,-0.052410103,972.2222222222222,-4.349222573969099,-4.349222573969099,1.0
40000,1.4198799,-0.05118297,952.5333333333333,-4.393786008868899,-4.393786008868899,1.0
50000,1.4204087,-0.07564891,851.3,-3.4242729978127913,-3.4242729978127913,1.0
60000,1.4205862,-0.0725268,999.0,-5.008889191680485,-5.008889191680485,1.0
70000,1.4202178,-0.09826111,651.5714285714286,-1.1287859550544195,-1.1287859550544195,1.0
80000,1.4200064,-0.06348536,906.5,-3.784833629926046,-3.784833629926046,1.0
90000,1.4205363,-0.09498841,999.0,-5.140900379419326,-5.140900379419326,1.0
100000,1.4209234,-0.08586318,687.9375,-1.7011252716183662,-1.7011252716183662,1.0
110000,1.4207557,-0.094761245,764.0,-2.5587276111949575,-2.5587276111949575,1.0
120000,1.4205062,-0.034827374,999.0,-5.215000404251946,-5.215000404251946,1.0
130000,1.4216976,-0.07295635,818.6666666666666,-3.1257859766483307,-3.1257859766483307,1.0
140000,1.4229996,-0.09534771,789.9166666666666,-3.100385001072517,-3.100385001072517,1.0
150000,1.4243712,-0.13335165,794.3846153846154,-3.020923444857964,-3.020923444857964,1.0
160000,1.4261812,-0.109976344,737.0,-2.227769530736483,-2.227769530736483,1.0
170000,1.4266295,-0.111840524,704.0833333333334,-1.9020835906267166,-1.9020835906267166,1.0
180000,1.4273726,-0.14889403,731.7142857142857,-2.2886431515216827,-2.2886431515216827,1.0
190000,1.4273843,-0.16809231,866.3846153846154,-3.6391541361808777,-3.6391541361808777,1.0
200000,1.4273674,-0.12773018,781.2307692307693,-2.2048335621754327,-2.2048335621754327,1.0
210000,1.4275115,-0.15215263,787.0,-2.964769560557145,-2.964769560557145,1.0
220000,1.4279059,-0.18784726,743.5714285714286,-2.403428848300661,-2.403428848300661,1.0
230000,1.4278944,-0.17800963,771.3333333333334,-2.7130836794773736,-2.7130836794773736,1.0
240000,1.4278527,-0.19016951,598.1875,-0.8685627467930317,-0.8685627467930317,1.0
