Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,-0.07610453,999.0,-5.048889213138157,-5.048889213138157,1.0
20000,1.4189383,-0.06514262,999.0,-5.070000356435775,-5.070000356435775,1.0
30000,1.4176531,-0.005723798,999.0,-5.038000321388244,-5.038000321388244,1.0
40000,1.4175588,-0.029559985,999.0,-5.02000030875206,-5.02000030875206,1.0
50000,1.4137355,-0.065708734,977.6,-4.44790937683799,-4.44790937683799,1.0
60000,1.4132612,-0.065447375,999.0,-5.005000281333923,-5.005000281333923,1.0
70000,1.4108131,-0.09699656,999.0,-4.997000277042389,-4.997000277042389,1.0
80000,1.4103373,-0.112813264,925.0909090909091,-4.174727515740828,-4.174727515740828,1.0
90000,1.4083157,-0.12053491,999.0,-5.0640003323555,-5.0640003323555,1.0
100000,1.4077803,-0.120676,857.0,-3.472909390926361,-3.472909390926361,1.0
110000,1.4078422,-0.15237483,917.6363636363636,-4.295727643099698,-4.295727643099698,1.0
120000,1.4078598,-0.14177641,999.0,-5.370000487565994,-5.370000487565994,1.0
130000,1.4080207,-0.17251909,847.4166666666666,-3.5705836613972983,-3.5705836613972983,1.0
140000,1.4081,-0.16928154,917.4545454545455,-4.295182179320943,-4.295182179320943,1.0
150000,1.4073161,-0.19388399,856.3333333333334,-4.319000320001082,-4.319000320001082,1.0
160000,1.4068317,-0.18380544,906.8,-3.3243639306588606,-3.3243639306588606,1.0
170000,1.4065573,-0.2508008,917.6363636363636,-4.18218212777918,-4.18218212777918,1.0
180000,1.4063485,-0.2712636,797.3076923076923,-2.8796925223790684,-2.8796925223790684,1.0
190000,1.4067422,-0.21763785,784.6923076923077,-2.8060002281115604,-2.8060002281115604,1.0
200000,1.407107,-0.25081813,845.25,-3.3394548188556326,-3.3394548188556326,1.0
210000,1.4070609,-0.3005209,827.5454545454545,-3.4083335995674133,-3.4083335995674133,1.0
220000,1.4069976,-0.26337114,999.0,-5.083000349998474,-5.083000349998474,1.0
230000,1.406841,-0.2649012,686.6666666666666,-1.8474668502807616,-1.8474668502807616,1.0
240000,1.4066142,-0.18936755,736.0714285714286,-2.2929287595408305,-2.2929287595408305,1.0
250000,1.406953,-0.30249888,672.9285714285714,-1.585428693464824,-1.585428693464824,1.0
260000,1.4075735,-0.32052225,696.6,-1.8183335502942404,-1.8183335502942404,1.0
270000,1.4071398,-0.19892111,689.0666666666667,-1.5515716544219427,-1.5515716544219427,1.0
280000,1.4061121,-0.1726304,711.0769230769231,-2.2330716039453233,-2.2330716039453233,1.0
290000,1.406073,-0.13968027,646.0,-1.3575626760721207,-1.3575626760721207,1.0
300000,1.4059523,-0.1465803,843.75,-3.387166917324066,-3.387166917324066,1.0
310000,1.4058247,-0.032391023,804.5,-2.7765002399683,-2.7765002399683,1.0
320000,1.4052818,-0.19473115,584.3333333333334,-0.1471112502945794,-0.1471112502945794,1.0
330000,1.4049758,-0.011620119,582.9375,0.5200622119009495,0.5200622119009495,1.0
340000,1.4030228,-0.16392967,659.4375,-1.1134376153349876,-1.1134376153349876,1.0
350000,1.4028383,-0.10367671,722.4615384615385,-1.6926925228192256,-1.6926925228192256,1.0
360000,1.4006308,-0.069652684,597.4117647058823,-0.3627648984684664,-0.3627648984684664,1.0
370000,1.4005954,-0.059283726,644.7333333333333,-1.2340001781781516,-1.2340001781781516,1.0
380000,1.3985277,0.14930826,606.8235294117648,-0.4683531031889074,-0.4683531031889074,1.0
390000,1.3985277,-0.2624965,642.4375,-1.0998126901686192,-1.0998126901686192,1.0
400000,1.3994452,-0.029513944,931.2727272727273,-4.2571003317832945,-4.2571003317832945,1.0
410000,1.399482,-0.13878539,555.1764705882352,-0.44127795100212097,-0.44127795100212097,1.0
420000,1.3983631,-0.10017457,662.875,-0.9716002782185872,-0.9716002782185872,1.0
430000,1.3982556,0.15652825,715.5384615384615,-1.996143102645874,-1.996143102645874,1.0
440000,1.3982384,-0.10688064,757.2307692307693,-2.4078464278808007,-2.4078464278808007,1.0
450000,1.3982373,-0.08370817,644.3125,-0.43712518364191055,-0.43712518364191055,1.0
460000,1.3968152,-0.1123603,892.7272727272727,-3.754182132807645,-3.754182132807645,1.0
470000,1.3964746,-0.1543244,780.0,-2.9635387521523695,-2.9635387521523695,1.0
480000,1.3957838,-0.10927424,817.6666666666666,-3.1806670874357224,-3.1806670874357224,1.0
490000,1.395561,-0.051411495,825.3333333333334,-3.2138337244590125,-3.2138337244590125,1.0
500000,1.3927068,-0.17904566,720.5714285714286,-2.000785993678229,-2.000785993678229,1.0
510000,1.3914605,-0.1699195,760.3846153846154,-2.572615751853356,-2.572615751853356,1.0
520000,1.3897971,-0.1325265,666.625,-2.140266950925191,-2.140266950925191,1.0
530000,1.388883,0.03241497,589.7647058823529,0.10952924279605641,0.10952924279605641,1.0
540000,1.3884445,-0.051176593,687.6428571428571,-2.11866702636083,-2.11866702636083,1.0
550000,1.3881418,-0.015823353,862.1666666666666,-3.6625459410927514,-3.6625459410927514,1.0
560000,1.3886054,-0.02808923,663.9333333333333,-1.5368669311205545,-1.5368669311205545,1.0
570000,1.3890133,-0.08079751,511.7368421052632,-0.46630026698112487,-0.46630026698112487,1.0
